,Class 0,Class 1,Class 2,Class 3,Class 4,Accuracy,AUC,G-mean,Avg_Pfm,Training Time,Res_time
MLP-ROS-roc_auc,0.5050154564380797,0.45166015625,0.13038674033149172,0.33962264150943394,0.5588235294117647,0.48012844133284205,0.7059139920692424,0.35507838805096703,0.5137069404843505,22.544,0.06145143508911133
MLP-ROS-pr_auc,0.46508106744054,0.39697265625,0.24861878453038674,0.24528301886792453,0.7058823529411765,0.44601779228299204,0.6814733050635036,0.38022844201337663,0.5025731797866241,23.23,0.06145143508911133
MLP-ROS-RUS-roc_auc,0.5165604693710176,0.31591796875,0.17458563535911603,0.22012578616352202,0.8235294117647058,0.47670684844975525,0.6548960349256991,0.3488275740937773,0.4934768191564105,4.855,0.8504419326782227
MLP-ROS-RUS-pr_auc,0.5485458330704688,0.345703125,0.13259668508287292,0.18238993710691823,0.7941176470588235,0.5042375111859767,0.6489435666507747,0.32528716139594094,0.4928227464108974,4.662,0.8504419326782227
MLP-SMOTE-RUS-roc_auc,0.5183900069396252,0.38330078125,0.13480662983425415,0.16352201257861634,0.7647058823529411,0.48302363531083853,0.6607622617280471,0.3198863041668546,0.4878907337352468,4.477,0.8464839458465576
MLP-SMOTE-RUS-pr_auc,0.4895590183584632,0.44384765625,0.112707182320442,0.2138364779874214,0.8529411764705882,0.46502079275675107,0.6810529418809669,0.33884282233494106,0.494972185657553,4.592,0.8464839458465576
MLP-RUS2ROS-roc_auc,0.5326477824742919,0.359375,0.10939226519337017,0.23270440251572327,0.7647058823529411,0.49170921724482813,0.6538607356827242,0.32677944157282496,0.4907831315001257,4.54,0.8000123500823975
MLP-RUS2ROS-pr_auc,0.5397135827392594,0.357421875,0.09392265193370165,0.2641509433962264,0.7647058823529411,0.49692056640522186,0.6598486995153039,0.3256059137218913,0.49412505988080574,4.659,0.8000123500823975
MLP-RUS2SMOTE-roc_auc,0.37612768910478833,0.52099609375,0.09171270718232044,0.2641509433962264,0.7058823529411765,0.3778491340738011,0.6575070957424971,0.319916585108451,0.4517576049749164,4.857,0.7956376075744629
MLP-RUS2SMOTE-pr_auc,0.5525834332218788,0.34423828125,0.1414364640883978,0.20754716981132076,0.7058823529411765,0.5079223035216087,0.6739741543440523,0.3304711191093981,0.504122525658353,4.72,0.7956376075744629
MLP-NearMiss2ROS-roc_auc,0.3393476752255378,0.4111328125,0.1856353591160221,0.07547169811320754,0.6764705882352942,0.3381586566299942,0.5999954801873324,0.26562206712623543,0.401258734647854,4.501,1.3004851341247559
MLP-NearMiss2ROS-pr_auc,0.35638130086429876,0.45166015625,0.08508287292817679,0.2578616352201258,0.6470588235294118,0.35342422487761227,0.6344517780502065,0.29633289665342327,0.4280696331937473,4.638,1.3004851341247559
MLP-NearMiss2SMOTE-roc_auc,0.315058986814712,0.453125,0.24751381215469614,0.0440251572327044,0.6176470588235294,0.3249986840027373,0.6220467273263004,0.24918972206313242,0.39874504446405673,4.452,1.3608136177062988
MLP-NearMiss2SMOTE-pr_auc,0.3698189388682102,0.3701171875,0.18232044198895028,0.24528301886792453,0.5882352941176471,0.36026741064378587,0.6338377541724995,0.32454615297048633,0.4395504392622573,4.619,1.3608136177062988
